mix,Fibonacci,144,1326,15393,281133,3682503,55810294,1820377013,200,2,2,
mix,Binomial,300,2335,30103,324816,5540468,82107758,18446744072212419931,200,2,2,
type,alg,1,10,100,1000,10000,100000,1000000,base node size,mix scale,incdec/del,
mix,Fibonacci,344,3696,48421,702592,10796358,112647469,870899141,200,2,2,
mix,Binomial,573,7080,93222,1404021,18952645,225789186,1426111134,200,2,2,
type,alg,1,10,100,1000,10000,100000,1000000,base node size,mix scale,incdec/del,
mix,Fibonacci,32,19,89,452,3739,72979,1252723,1,1,500,
mix,Binomial,48,15,130,690,6415,94109,1506343,1,1,500,
type,alg,1,10,100,1000,10000,100000,1000000,base node size,mix scale,incdec/del,
type,alg,1,10,100,1000,10000,100000,1000000,base node size,mix scale,incdec/del,
type,alg,1,10,100,1000,10000,100000,1000000,base node size,mix scale,incdec/del,
mix,DAry,34,7,31,249,3633,45312,1005092,1,1,500,
mix,AOH,22,7,25,239,4669,39120,836278,1,1,500,
mix,Fibonacci,34,4,38,295,4131,58920,1181215,1,1,500,
mix,Binomial,45,5,44,520,6138,85246,1527129,1,1,500,
mix,Skew,3,5,27,304,3715,73032,1552016,1,1,500,
mix,Pairing,2,5,23,294,3563,61178,1412529,1,1,500,
type,alg,1,10,100,1000,10000,100000,1000000,base node size,mix scale,incdec/del,
mix,DAry,5,5,30,307,3355,48623,1034671,1,1,500,
mix,AOH,3,5,22,249,3313,50520,863146,1,1,500,
mix,Fibonacci,3,5,25,295,3788,69640,1174075,1,1,500,
mix,Binomial,3,7,42,470,6327,92428,1458765,1,1,500,
mix,Skew,2,4,23,273,3682,64741,1457331,1,1,500,
mix,Pairing,4,5,26,239,3826,57388,1372881,1,1,500,
type,alg,1,10,100,1000,10000,100000,1000000,base node size,mix scale,incdec/del,
type,alg,1,10,100,1000,10000,100000,1000000,base node size,mix scale,incdec/del,
type,alg,1,10,100,1000,10000,100000,1000000,base node size,mix scale,incdec/del,
